Algorithm Type,Metric,Height,Prediction Type,Base Learner,Noisy Rate,Metric,Mean,Std
Pre,orders,Subset,Binary_vector,Learner2,0.0,subset0_1_accuracy_PRE_ORDER,0.5259095794741749,0.38955962473911643
Pre,orders,Subset,Binary_vector,Learner2,0.1,hamming_accuracy_PRE_ORDER,0.4968548726289133,0.3741448482572166
Pre,orders,Subset,Binary_vector,Learner2,0.1,subset0_1_accuracy_PRE_ORDER,0.7479636943864104,0.07047463508555188
Partial,orders,Hamming,Preference_order,Learner1,0.0,hamming_accuracy_PARTIAL_ORDER,0.6637235447999847,0.3311846895769675
Partial,orders,Hamming,Preference_order,Learner1,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.5856682225400012,0.210536546447167
Partial,orders,Hamming,Preference_order,Learner1,0.1,hamming_accuracy_PARTIAL_ORDER,0.4485276581589094,0.163566328260122
Partial,orders,Hamming,Preference_order,Learner1,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.6199636186988394,0.28194716956982474
Partial,orders,Hamming,Preference_order,Learner2,0.0,hamming_accuracy_PARTIAL_ORDER,0.35346374570769296,0.21648264444723872
Partial,orders,Hamming,Preference_order,Learner2,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.33575145056709604,0.21373895528627973
Partial,orders,Hamming,Preference_order,Learner2,0.1,hamming_accuracy_PARTIAL_ORDER,0.6047225274096195,0.21164189883286683
Partial,orders,Hamming,Preference_order,Learner2,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.7083267932679326,0.18888853096228422
Partial,orders,Hamming,Binary_vector,Learner1,0.0,hamming_accuracy_PARTIAL_ORDER,0.473536114365682,0.3275322208417353
Partial,orders,Hamming,Binary_vector,Learner1,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.5803518224226891,0.16828094777995195
Partial,orders,Hamming,Binary_vector,Learner1,0.1,hamming_accuracy_PARTIAL_ORDER,0.6895796442424286,0.1500305404814539
Partial,orders,Hamming,Binary_vector,Learner1,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.44632137775226166,0.2711189040268487
Partial,orders,Hamming,Binary_vector,Learner2,0.0,hamming_accuracy_PARTIAL_ORDER,0.5782232343158455,0.3206066586607701
Partial,orders,Hamming,Binary_vector,Learner2,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.44028602619739876,0.33966028960648875
Partial,orders,Hamming,Binary_vector,Learner2,0.1,hamming_accuracy_PARTIAL_ORDER,0.7572060796891653,0.2372317502850296
Partial,orders,Hamming,Binary_vector,Learner2,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.6108053125697739,0.15578698623733148
Partial,orders,Hamming,Preference_order,Learner1,0.0,hamming_accuracy_PARTIAL_ORDER,0.407669785341849,0.2649734077676191
Partial,orders,Hamming,Preference_order,Learner1,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.4403380116942951,0.18068677715050172
Partial,orders,Hamming,Preference_order,Learner1,0.1,hamming_accuracy_PARTIAL_ORDER,0.747809447837554,0.13173741322436772
Partial,orders,Hamming,Preference_order,Learner1,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.7285910949800962,0.24119478669330682
Partial,orders,Hamming,Preference_order,Learner2,0.0,hamming_accuracy_PARTIAL_ORDER,0.5458487211618896,0.28393217425505757
Partial,orders,Hamming,Preference_order,Learner2,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.552481738870978,0.2504202465822752
Partial,orders,Hamming,Preference_order,Learner2,0.1,hamming_accuracy_PARTIAL_ORDER,0.36141372003760425,0.3610402538544004
Partial,orders,Hamming,Preference_order,Learner2,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.5451225667166685,0.3041106248859876
Partial,orders,Hamming,Binary_vector,Learner1,0.0,hamming_accuracy_PARTIAL_ORDER,0.532497119324433,0.3538622001761938
Partial,orders,Hamming,Binary_vector,Learner1,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.4902342170311379,0.21602947559919683
Partial,orders,Hamming,Binary_vector,Learner1,0.1,hamming_accuracy_PARTIAL_ORDER,0.41723113115463023,0.27718174822329616
Partial,orders,Hamming,Binary_vector,Learner1,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.608012521848698,0.17678347253107835
Partial,orders,Hamming,Binary_vector,Learner2,0.0,hamming_accuracy_PARTIAL_ORDER,0.5319903813307681,0.22003281142974046
Partial,orders,Hamming,Binary_vector,Learner2,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.645738687833861,0.30245695630199326
Partial,orders,Hamming,Binary_vector,Learner2,0.1,hamming_accuracy_PARTIAL_ORDER,0.669312556934849,0.24972329721128217
Partial,orders,Hamming,Binary_vector,Learner2,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.6440084676987625,0.25588567695158604
Partial,orders,Subset,Preference_order,Learner1,0.0,hamming_accuracy_PARTIAL_ORDER,0.4096932100884872,0.21999888264584594
Partial,orders,Subset,Preference_order,Learner1,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.4835688749267506,0.26187851028203424
Partial,orders,Subset,Preference_order,Learner1,0.1,hamming_accuracy_PARTIAL_ORDER,0.6953774822995824,0.25928131346425876
Partial,orders,Subset,Preference_order,Learner1,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.4913141103061376,0.31616216539044656
Partial,orders,Subset,Preference_order,Learner2,0.0,hamming_accuracy_PARTIAL_ORDER,0.5333729386230431,0.2360559016773225
Partial,orders,Subset,Preference_order,Learner2,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.593432757386457,0.22319603975422123
Partial,orders,Subset,Preference_order,Learner2,0.1,hamming_accuracy_PARTIAL_ORDER,0.5107921306959102,0.1638811170779238
Partial,orders,Subset,Preference_order,Learner2,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.49629762932343446,0.2823733252776522
Partial,orders,Subset,Binary_vector,Learner1,0.0,hamming_accuracy_PARTIAL_ORDER,0.4112837542023796,0.3423423992584817
Partial,orders,Subset,Binary_vector,Learner1,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.5369959574575583,0.30814732795152794
Partial,orders,Subset,Binary_vector,Learner1,0.1,hamming_accuracy_PARTIAL_ORDER,0.3095807571999637,0.28375707731058114
Partial,orders,Subset,Binary_vector,Learner1,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.4913343203504036,0.2567335288440997
Partial,orders,Subset,Binary_vector,Learner2,0.0,hamming_accuracy_PARTIAL_ORDER,0.5462508535771559,0.2748272511058708
Partial,orders,Subset,Binary_vector,Learner2,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.4939440920652416,0.3343688165232076
Partial,orders,Subset,Binary_vector,Learner2,0.1,hamming_accuracy_PARTIAL_ORDER,0.5300758015824265,0.40471486553871117
Partial,orders,Subset,Binary_vector,Learner2,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.3432844095777186,0.2648807078384962
Partial,orders,Subset,Preference_order,Learner1,0.0,hamming_accuracy_PARTIAL_ORDER,0.47387773220472856,0.30093817741051637
Partial,orders,Subset,Preference_order,Learner1,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.5544641188366378,0.2830285147755821
Partial,orders,Subset,Preference_order,Learner1,0.1,hamming_accuracy_PARTIAL_ORDER,0.6403127040864147,0.17992805492098762
Partial,orders,Subset,Preference_order,Learner1,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.38271494422025076,0.196843160768074
Partial,orders,Subset,Preference_order,Learner2,0.0,hamming_accuracy_PARTIAL_ORDER,0.6538325180010095,0.22683723032054467
Partial,orders,Subset,Preference_order,Learner2,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.6627353148536088,0.2108101766067802
Partial,orders,Subset,Preference_order,Learner2,0.1,hamming_accuracy_PARTIAL_ORDER,0.4727728024310328,0.2042309748201957
Partial,orders,Subset,Preference_order,Learner2,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.3413323604411564,0.3540893178215047
Partial,orders,Subset,Binary_vector,Learner1,0.0,hamming_accuracy_PARTIAL_ORDER,0.41980626160358786,0.24681658518028798
Partial,orders,Subset,Binary_vector,Learner1,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.4099785306623568,0.3482102053018357
Partial,orders,Subset,Binary_vector,Learner1,0.1,hamming_accuracy_PARTIAL_ORDER,0.5993595561788303,0.28731523412087645
Partial,orders,Subset,Binary_vector,Learner1,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.35670851613417637,0.20190764630866342
Partial,orders,Subset,Binary_vector,Learner2,0.0,hamming_accuracy_PARTIAL_ORDER,0.24063946488278348,0.15599464061440232
Partial,orders,Subset,Binary_vector,Learner2,0.0,subset0_1_accuracy_PARTIAL_ORDER,0.6902478732740047,0.25710037079992215
Partial,orders,Subset,Binary_vector,Learner2,0.1,hamming_accuracy_PARTIAL_ORDER,0.5572870666413974,0.22248411546301464
Partial,orders,Subset,Binary_vector,Learner2,0.1,subset0_1_accuracy_PARTIAL_ORDER,0.5993186209621293,0.27640825616901604
